--------args----------
data_path: ../data/
file_name: search_param
data_name: multi
device: cuda:2
seed: 0
modes: 32
width: 64
n_layers: 8
output_dim: 100
size: 64
model_name: net-seed-0-K-4-modes-32-width-64-n_layers-8-output_dim-100-size-64-8_9_20_37_37
K: 4
batch_size: 20
val_size: 10
loss_mode: cn
rollout_DT: 0.2
lr: 0.005
weight_decay: 0.0
num_iterations: 20000
--------args----------

 params: 17.211 M
torch.Size([10, 64, 64, 51])
training loss 0 44.83034133911133
validation physics loss 0 43.92563247680664
-----------SAVING NEW MODEL-----------
_________Training__________
1 relative l_2 error 0.4060116410255432
2 relative l_2 error 0.551770031452179
3 relative l_2 error 0.6706628203392029
4 relative l_2 error 0.781241238117218
5 relative l_2 error 0.888645589351654
6 relative l_2 error 0.9944614768028259
7 relative l_2 error 1.0990960597991943
8 relative l_2 error 1.2025411128997803
9 relative l_2 error 1.3046492338180542
10 relative l_2 error 1.4052399396896362
11 relative l_2 error 1.5041402578353882
12 relative l_2 error 1.6011990308761597
13 relative l_2 error 1.6962900161743164
14 relative l_2 error 1.7893112897872925
15 relative l_2 error 1.8801822662353516
16 relative l_2 error 1.9688421487808228
17 relative l_2 error 2.0552453994750977
18 relative l_2 error 2.1393604278564453
19 relative l_2 error 2.2211673259735107
20 relative l_2 error 2.3006558418273926
21 relative l_2 error 2.3778235912323
22 relative l_2 error 2.4526751041412354
23 relative l_2 error 2.5252208709716797
24 relative l_2 error 2.5954766273498535
25 relative l_2 error 2.663461446762085
Mean Relative l_2 Error 1.6430148315429687
training loss 100 19.43576431274414
validation physics loss 100 20.252622604370117
-----------SAVING NEW MODEL-----------
_________Training__________
1 relative l_2 error 0.36988404393196106
2 relative l_2 error 0.498298317193985
3 relative l_2 error 0.60564786195755
4 relative l_2 error 0.7093674540519714
5 relative l_2 error 0.8136071562767029
6 relative l_2 error 0.9190813899040222
7 relative l_2 error 1.0254886150360107
8 relative l_2 error 1.1322664022445679
9 relative l_2 error 1.238842248916626
10 relative l_2 error 1.3447109460830688
11 relative l_2 error 1.4494497776031494
12 relative l_2 error 1.5527143478393555
13 relative l_2 error 1.6542274951934814
14 relative l_2 error 1.7537678480148315
15 relative l_2 error 1.8511606454849243
16 relative l_2 error 1.9462673664093018
17 relative l_2 error 2.0389811992645264
18 relative l_2 error 2.1292197704315186
19 relative l_2 error 2.2169225215911865
20 relative l_2 error 2.3020436763763428
21 relative l_2 error 2.3845536708831787
22 relative l_2 error 2.4644341468811035
23 relative l_2 error 2.5416762828826904
24 relative l_2 error 2.6162800788879395
25 relative l_2 error 2.688251495361328
Mean Relative l_2 Error 1.609885790348053
training loss 200 11.81170654296875
validation physics loss 200 11.320576667785645
-----------SAVING NEW MODEL-----------
_________Training__________
1 relative l_2 error 0.5734662413597107
2 relative l_2 error 1.1032651662826538
3 relative l_2 error 1.6544227600097656
4 relative l_2 error 2.2155613899230957
5 relative l_2 error 2.7801055908203125
6 relative l_2 error 3.3439178466796875
7 relative l_2 error 3.9041974544525146
8 relative l_2 error 4.458947658538818
9 relative l_2 error 5.006689071655273
10 relative l_2 error 5.546295166015625
11 relative l_2 error 6.0768890380859375
12 relative l_2 error 6.597781658172607
13 relative l_2 error 7.108421325683594
14 relative l_2 error 7.608367919921875
15 relative l_2 error 8.09727668762207
16 relative l_2 error 8.574872016906738
17 relative l_2 error 9.040953636169434
18 relative l_2 error 9.49537467956543
19 relative l_2 error 9.938036918640137
20 relative l_2 error 10.368892669677734
21 relative l_2 error 10.787932395935059
22 relative l_2 error 11.195178031921387
23 relative l_2 error 11.590672492980957
24 relative l_2 error 11.974467277526855
25 relative l_2 error 12.346623420715332
Mean Relative l_2 Error 6.855544340610504
training loss 300 8.463973045349121
validation physics loss 300 8.06094741821289
-----------SAVING NEW MODEL-----------
_________Training__________
1 relative l_2 error 0.6359567046165466
2 relative l_2 error 1.2824397087097168
3 relative l_2 error 1.9519376754760742
4 relative l_2 error 2.6311733722686768
5 relative l_2 error 3.3130948543548584
6 relative l_2 error 3.993273973464966
7 relative l_2 error 4.668687343597412
8 relative l_2 error 5.337204933166504
9 relative l_2 error 5.997323036193848
10 relative l_2 error 6.647988796234131
11 relative l_2 error 7.288486480712891
12 relative l_2 error 7.918284893035889
13 relative l_2 error 8.536959648132324
14 relative l_2 error 9.144108772277832
15 relative l_2 error 9.739327430725098
16 relative l_2 error 10.322249412536621
